1,1
1,2
1,3
2,3
3,3
3,2
3,1
4,1
5,1
6,1
7,1
7,2
7,3
7,4
7,5
8,5
9,5
9,4
9,3
9,2
9,1
10,1
11,1
12,1
13,1
13,2
13,3
12,3
11,3
11,4
11,5
12,5
13,5
14,5
15,5
15,6
15,7
15,8
15,9
16,9
17,9
17,10
17,11
18,11
19,11
20,11
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
22,19
23,19
24,19
25,19
25,20
25,21
24,21
23,21
23,22
23,23
23,24
23,25
24,25
25,25
26,25
27,25
28,25
29,25
30,25
31,25
31,26
31,27
32,27
33,27
34,27
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
35,35
35,36
35,37
35,38
35,39
35,40
35,41
36,41
37,41
37,42
37,43
37,44
37,45
38,45
39,45
40,45
41,45
41,46
41,47
41,48
41,49
42,49
43,49
43,50
43,51
44,51
45,51
46,51
47,51
47,50
47,49
48,49
49,49
50,49
51,49
51,50
51,51
50,51
49,51
49,52
49,53
48,53
47,53
47,54
47,55
47,56
47,57
47,58
47,59
48,59
49,59
50,59
51,59
51,60
51,61
51,62
51,63
52,63
53,63
54,63
55,63
55,64
55,65
54,65
53,65
53,66
53,67
54,67
55,67
56,67
57,67
57,68
57,69
57,70
57,71
57,72
57,73
56,73
55,73
55,74
55,75
56,75
57,75
57,76
57,77
56,77
55,77
55,78
55,79
56,79
57,79
57,80
57,81
57,82
57,83
58,83
59,83
59,84
59,85
59,86
59,87
59,88
59,89
59,90
59,91
59,92
59,93
59,94
59,95
60,95
61,95
62,95
63,95
63,96
63,97
63,98
63,99
62,99
61,99
60,99
59,99
59,100
59,101
59,102
59,103
59,104
59,105
60,105
61,105
62,105
63,105
63,106
63,107
64,107
65,107
65,108
65,109
65,110
65,111
65,112
65,113
65,114
65,115
65,116
65,117
66,117
67,117
68,117
69,117
70,117
71,117
71,118
71,119
71,120
71,121
71,122
71,123
71,124
71,125
71,126
71,127
72,127
73,127
73,128
73,129
74,129
75,129
75,130
75,131
74,131
73,131
73,132
73,133
73,134
73,135
73,136
73,137
74,137
75,137
76,137
77,137
77,138
77,139
77,140
77,141
78,141
79,141
80,141
81,141
81,140
81,139
82,139
83,139
83,138
83,137
84,137
85,137
86,137
87,137
87,138
87,139
86,139
85,139
85,140
85,141
85,142
85,143
85,144
85,145
84,145
83,145
83,146
83,147
83,148
83,149
82,149
81,149
81,150
81,151
81,152
81,153
82,153
83,153
83,154
83,155
84,155
85,155
85,156
85,157
85,158
85,159
85,160
85,161
86,161
87,161
88,161
89,161
89,162
89,163
89,164
89,165
89,166
89,167
89,168
89,169
89,170
89,171
88,171
87,171
87,172
87,173
86,173
85,173
85,174
85,175
84,175
83,175
82,175
81,175
80,175
79,175
78,175
77,175
77,176
77,177
77,178
77,179
77,180
77,181
76,181
75,181
75,182
75,183
75,184
75,185
76,185
77,185
77,186
77,187
77,188
77,189
76,189
75,189
75,190
75,191
75,192
75,193
74,193
73,193
73,194
73,195
72,195
71,195
71,196
71,197
72,197
73,197
73,198
73,199
73,200
73,201
72,201
71,201
71,202
71,203
71,204
71,205
72,205
73,205
74,205
75,205
76,205
77,205
77,206
77,207
77,208
77,209
76,209
75,209
75,210
75,211
75,212
75,213
76,213
77,213
77,214
77,215
77,216
77,217
76,217
75,217
74,217
73,217
73,218
73,219
74,219
75,219
75,220
75,221
74,221
73,221
73,222
73,223
73,224
73,225
74,225
75,225
76,225
77,225
77,226
77,227
77,228
77,229
77,230
77,231
77,232
77,233
77,234
77,235
78,235
79,235
80,235
81,235
82,235
83,235
83,236
83,237
83,238
83,239
82,239
81,239
81,240
81,241
80,241
79,241
79,242
79,243
78,243
77,243
76,243
75,243
75,244
75,245
76,245
77,245
78,245
79,245
79,246
79,247
79,248
79,249
80,249
81,249
82,249
83,249
83,250
83,251
83,252
83,253
84,253
85,253
86,253
87,253
87,254
87,255
86,255
85,255
85,256
85,257
86,257
87,257
88,257
89,257
89,256
89,255
90,255
91,255
91,256
91,257
92,257
93,257
93,258
93,259
93,260
93,261
92,261
91,261
90,261
89,261
89,262
89,263
89,264
89,265
89,266
89,267
89,268
89,269
89,270
89,271
89,272
89,273
88,273
87,273
86,273
85,273
84,273
83,273
83,274
83,275
83,276
83,277
84,277
85,277
85,278
85,279
86,279
87,279
87,280
87,281
88,281
89,281
90,281
91,281
92,281
93,281
94,281
95,281
96,281
97,281
97,282
97,283
97,284
97,285
98,285
99,285
99,284
99,283
100,283
101,283
102,283
103,283
103,284
103,285
102,285
101,285
101,286
101,287
101,288
101,289
102,289
103,289
103,290
103,291
102,291
101,291
101,292
101,293
101,294
101,295
101,296
101,297
102,297
103,297
103,298
103,299
104,299
105,299
106,299
107,299
108,299
109,299
110,299
111,299
111,298
111,297
112,297
113,297
113,298
113,299
114,299
115,299
116,299
117,299
118,299
119,299
